signal_type,dimension,tau,entropy_pair,feature_x,feature_y,silhouette_score,n_samples,n_classes
Bvp,3,1,CH,pe,comp,0.010552031721326387,2544,2
Bvp,3,1,Fisher,fisher_shannon,fisher_info,0.010456530757927508,2544,2
Bvp,3,1,Tsallis,tsallispe,tsalliscomp,0.010548945227896084,2544,2
Bvp,3,1,Renyi,renyipe,renyicomp,0.01058083793295746,2544,2
Bvp,3,2,CH,pe,comp,0.012412560075944582,2544,2
Bvp,3,2,Fisher,fisher_shannon,fisher_info,0.01228402806116596,2544,2
Bvp,3,2,Tsallis,tsallispe,tsalliscomp,0.012346054795900034,2544,2
Bvp,3,2,Renyi,renyipe,renyicomp,0.012153270130338628,2544,2
Bvp,3,3,CH,pe,comp,0.014560648979960995,2544,2
Bvp,3,3,Fisher,fisher_shannon,fisher_info,0.014501985285382896,2544,2
Bvp,3,3,Tsallis,tsallispe,tsalliscomp,0.014535251334522646,2544,2
Bvp,3,3,Renyi,renyipe,renyicomp,0.014240948798803752,2544,2
Bvp,4,1,CH,pe,comp,0.019369289474516,2544,2
Bvp,4,1,Fisher,fisher_shannon,fisher_info,0.027574899376769595,2544,2
Bvp,4,1,Tsallis,tsallispe,tsalliscomp,0.019598464410841746,2544,2
Bvp,4,1,Renyi,renyipe,renyicomp,0.01995208301888538,2544,2
Bvp,4,2,CH,pe,comp,0.012436529812404803,2544,2
Bvp,4,2,Fisher,fisher_shannon,fisher_info,0.013318610245718133,2544,2
Bvp,4,2,Tsallis,tsallispe,tsalliscomp,0.012366234604586508,2544,2
Bvp,4,2,Renyi,renyipe,renyicomp,0.01230909294852401,2544,2
Bvp,4,3,CH,pe,comp,0.013551609665799588,2544,2
Bvp,4,3,Fisher,fisher_shannon,fisher_info,0.01395920085360863,2544,2
Bvp,4,3,Tsallis,tsallispe,tsalliscomp,0.013212276692037084,2544,2
Bvp,4,3,Renyi,renyipe,renyicomp,0.013570863940621186,2544,2
Bvp,5,1,CH,pe,comp,0.057087791071338684,2544,2
Bvp,5,1,Fisher,fisher_shannon,fisher_info,0.1338987527843063,2544,2
Bvp,5,1,Tsallis,tsallispe,tsalliscomp,0.05898763199425847,2544,2
Bvp,5,1,Renyi,renyipe,renyicomp,0.0629427717838304,2544,2
Bvp,5,2,CH,pe,comp,0.015875899383500616,2544,2
Bvp,5,2,Fisher,fisher_shannon,fisher_info,0.047028037362970475,2544,2
Bvp,5,2,Tsallis,tsallispe,tsalliscomp,0.015667457270069927,2544,2
Bvp,5,2,Renyi,renyipe,renyicomp,0.021028730754556184,2544,2
Bvp,5,3,CH,pe,comp,0.01176246504583507,2544,2
Bvp,5,3,Fisher,fisher_shannon,fisher_info,0.0337033917493402,2544,2
Bvp,5,3,Tsallis,tsallispe,tsalliscomp,0.01073293281632337,2544,2
Bvp,5,3,Renyi,renyipe,renyicomp,0.01805237236758093,2544,2
Bvp,6,1,CH,pe,comp,0.40206594314116684,2544,2
Bvp,6,1,Fisher,fisher_shannon,fisher_info,0.7225592240276147,2544,2
Bvp,6,1,Tsallis,tsallispe,tsalliscomp,0.34967794869218255,2544,2
Bvp,6,1,Renyi,renyipe,renyicomp,0.3675813789947935,2544,2
Bvp,6,2,CH,pe,comp,0.17886682338387916,2544,2
Bvp,6,2,Fisher,fisher_shannon,fisher_info,0.5239173722196083,2544,2
Bvp,6,2,Tsallis,tsallispe,tsalliscomp,0.13084891086778988,2544,2
Bvp,6,2,Renyi,renyipe,renyicomp,0.18528702123489565,2544,2
Bvp,6,3,CH,pe,comp,0.11372061354737308,2544,2
Bvp,6,3,Fisher,fisher_shannon,fisher_info,0.3860975839261892,2544,2
Bvp,6,3,Tsallis,tsallispe,tsalliscomp,0.07377752302210998,2544,2
Bvp,6,3,Renyi,renyipe,renyicomp,0.13075871772879283,2544,2
Bvp,7,1,CH,pe,comp,0.7194353914073606,2544,2
Bvp,7,1,Fisher,fisher_shannon,fisher_info,0.8018720015210564,2544,2
Bvp,7,1,Tsallis,tsallispe,tsalliscomp,0.7710068810421637,2544,2
Bvp,7,1,Renyi,renyipe,renyicomp,0.6032797554042134,2544,2
Bvp,7,2,CH,pe,comp,0.5024911357844326,2544,2
Bvp,7,2,Fisher,fisher_shannon,fisher_info,0.6622853390300264,2544,2
Bvp,7,2,Tsallis,tsallispe,tsalliscomp,0.5722630135663457,2544,2
Bvp,7,2,Renyi,renyipe,renyicomp,0.4252845416765058,2544,2
Bvp,7,3,CH,pe,comp,0.37163239877256127,2544,2
Bvp,7,3,Fisher,fisher_shannon,fisher_info,0.5672424414052668,2544,2
Bvp,7,3,Tsallis,tsallispe,tsalliscomp,0.4313380309066688,2544,2
Bvp,7,3,Renyi,renyipe,renyicomp,0.32803258411053104,2544,2
Eda,3,1,CH,pe,comp,0.0658300420410949,2544,2
Eda,3,1,Fisher,fisher_shannon,fisher_info,0.11382044952065196,2544,2
Eda,3,1,Tsallis,tsallispe,tsalliscomp,0.053541915971146645,2544,2
Eda,3,1,Renyi,renyipe,renyicomp,0.056538127636786194,2544,2
Eda,3,2,CH,pe,comp,0.06114892543711067,2544,2
Eda,3,2,Fisher,fisher_shannon,fisher_info,0.06061249690013045,2544,2
Eda,3,2,Tsallis,tsallispe,tsalliscomp,0.06100745881083006,2544,2
Eda,3,2,Renyi,renyipe,renyicomp,0.06222429078875986,2544,2
Eda,3,3,CH,pe,comp,0.07075374010292275,2544,2
Eda,3,3,Fisher,fisher_shannon,fisher_info,0.10783674002077721,2544,2
Eda,3,3,Tsallis,tsallispe,tsalliscomp,0.06262422776430757,2544,2
Eda,3,3,Renyi,renyipe,renyicomp,0.06544684325918657,2544,2
Eda,4,1,CH,pe,comp,0.06387319992251132,2544,2
Eda,4,1,Fisher,fisher_shannon,fisher_info,0.12595642931842863,2544,2
Eda,4,1,Tsallis,tsallispe,tsalliscomp,0.04843729553020483,2544,2
Eda,4,1,Renyi,renyipe,renyicomp,0.058669149380721444,2544,2
Eda,4,2,CH,pe,comp,0.07037923571700438,2544,2
Eda,4,2,Fisher,fisher_shannon,fisher_info,0.0809599830931144,2544,2
Eda,4,2,Tsallis,tsallispe,tsalliscomp,0.07144385968215927,2544,2
Eda,4,2,Renyi,renyipe,renyicomp,0.06871794447817219,2544,2
Eda,4,3,CH,pe,comp,0.07112919030333585,2544,2
Eda,4,3,Fisher,fisher_shannon,fisher_info,0.12873253845965305,2544,2
Eda,4,3,Tsallis,tsallispe,tsalliscomp,0.059307918933708306,2544,2
Eda,4,3,Renyi,renyipe,renyicomp,0.06475703824258797,2544,2
Eda,5,1,CH,pe,comp,0.07047554545733667,2544,2
Eda,5,1,Fisher,fisher_shannon,fisher_info,0.10380814141971569,2544,2
Eda,5,1,Tsallis,tsallispe,tsalliscomp,0.05197717129457316,2544,2
Eda,5,1,Renyi,renyipe,renyicomp,0.0697956939254299,2544,2
Eda,5,2,CH,pe,comp,0.1213408404263419,2544,2
Eda,5,2,Fisher,fisher_shannon,fisher_info,0.2161587410184625,2544,2
Eda,5,2,Tsallis,tsallispe,tsalliscomp,0.1313982387010943,2544,2
Eda,5,2,Renyi,renyipe,renyicomp,0.10794419922398672,2544,2
Eda,5,3,CH,pe,comp,0.08302690470509565,2544,2
Eda,5,3,Fisher,fisher_shannon,fisher_info,0.09825458890458355,2544,2
Eda,5,3,Tsallis,tsallispe,tsalliscomp,0.0682833687349582,2544,2
Eda,5,3,Renyi,renyipe,renyicomp,0.08207832064189804,2544,2
Eda,6,1,CH,pe,comp,0.09693265435714649,2544,2
Eda,6,1,Fisher,fisher_shannon,fisher_info,0.12267101286030825,2544,2
Eda,6,1,Tsallis,tsallispe,tsalliscomp,0.06852100446599857,2544,2
Eda,6,1,Renyi,renyipe,renyicomp,0.08852877802959461,2544,2
Eda,6,2,CH,pe,comp,0.5186639481327854,2544,2
Eda,6,2,Fisher,fisher_shannon,fisher_info,0.7809991319970129,2544,2
Eda,6,2,Tsallis,tsallispe,tsalliscomp,0.49645468002524956,2544,2
Eda,6,2,Renyi,renyipe,renyicomp,0.39653207908307964,2544,2
Eda,6,3,CH,pe,comp,0.09114756540681793,2544,2
Eda,6,3,Fisher,fisher_shannon,fisher_info,0.10212668252646731,2544,2
Eda,6,3,Tsallis,tsallispe,tsalliscomp,0.07077199441898312,2544,2
Eda,6,3,Renyi,renyipe,renyicomp,0.08052681939111352,2544,2
Eda,7,1,CH,pe,comp,0.23421374126027805,2544,2
Eda,7,1,Fisher,fisher_shannon,fisher_info,0.4071062179688423,2544,2
Eda,7,1,Tsallis,tsallispe,tsalliscomp,0.3304808785019668,2544,2
Eda,7,1,Renyi,renyipe,renyicomp,0.15497481735032323,2544,2
Eda,7,2,CH,pe,comp,0.7622798531836706,2544,2
Eda,7,2,Fisher,fisher_shannon,fisher_info,0.7477511703092904,2544,2
Eda,7,2,Tsallis,tsallispe,tsalliscomp,0.8374770884856463,2544,2
Eda,7,2,Renyi,renyipe,renyicomp,0.535679554181883,2544,2
Eda,7,3,CH,pe,comp,0.13958640874488726,2544,2
Eda,7,3,Fisher,fisher_shannon,fisher_info,0.23673551993806796,2544,2
Eda,7,3,Tsallis,tsallispe,tsalliscomp,0.28345697502259515,2544,2
Eda,7,3,Renyi,renyipe,renyicomp,0.08024356868158074,2544,2
